1,SUPPLY,5,1,,
1,SUPPLY,15,,,
1,SUPPLY,-15,,,
2,DELAY,1,,,
3,INPUT5V,1,1,,
4,LOG_ANAL,12,12000000,0.5,
5,LOG_ANAL,10,100000,0.5,
6,LOG_ANAL,11,1000,0.5,
7,CHECK_RS232,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,,,
8,CHECK_RS232,0xac 0x53 0x00 0x00,,,
9,CHECK_RS232,0x20 0x00 0x00 0x00,0x02,,
10,CHECK_RS232,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,,,
11,MU_UART,0x55 0x01 0x02 0x00 0xea 0x00 0x00 0x00 0xbe 0xfd,0x55 0x00 0x02 0x00 0x80 0xff 0xff 0xff 0x28 0x00 ,,
12,MU_UART,0x55 0x01 0x02 0x00 0x01 0x01 0x00 0x00 0xA7 0xFD,0x55 0x00 0x02 0x00 0x01 0x01 0x00 0xFF 0xA6 0xFF,,
13,INPUT5V,23,1,,
13,INPUT5V,2,0,,
13,INPUT5V,3,0,,
13,INPUT5V,4,1,,
13,INPUT5V,5,1,,
13,INPUT5V,6,1,,
13,INPUT5V,17,0,,"должно быть 1, но там 0"
13,INOUT,IN,6,1,
13,INOUT,IN,2,1,
13,INOUT,IN,3,1,
13,INOUT,IN,4,1,
13,INOUT,IN,5,1,
13,INOUT,IN,1,0,"должно быть 1, но там 0"
13,INOUT,IN,7,1,
13,INOUT,IN,8,1,
14,MU_UART,0x55 0x01 0x02 0x00 0x01 0x02 0x00 0x00 0xA7 0xFC,0x55 0x00 0x02 0x00 0x01 0x02 0x00 0xFF 0xA6 0xFE,,
15,INPUT5V,23,1,,"должно быть 0, но там 1"
15,INPUT5V,2,1,,
15,INPUT5V,3,0,,
15,INPUT5V,4,1,,
15,INPUT5V,5,1,,
15,INPUT5V,6,1,,
15,INPUT5V,17,0,,"должно быть 1, но там 0"
15,INOUT,IN,6,1,
15,INOUT,IN,2,1,
15,INOUT,IN,3,1,
15,INOUT,IN,4,1,
15,INOUT,IN,5,1,
15,INOUT,IN,1,0,"должно быть 0, но там 1"
15,INOUT,IN,7,1,
15,INOUT,IN,8,1,
16,MU_UART,0x55 0x01 0x02 0x00 0x01 0x04 0x00 0x00 0xA7 0xFA,0x55 0x00 0x02 0x00 0x01 0x04 0x00 0xFF 0xA6 0xFC,,
17,INPUT5V,23,1,,"должно быть 0, но там 1"
17,INPUT5V,2,0,,
17,INPUT5V,3,1,,
17,INPUT5V,4,1,,
17,INPUT5V,5,1,,
17,INPUT5V,6,1,,
17,INPUT5V,17,0,,"должно быть 1, но там 0"
17,INOUT,IN,6,1,
17,INOUT,IN,2,1,
17,INOUT,IN,3,1,
17,INOUT,IN,4,1,
17,INOUT,IN,5,1,
17,INOUT,IN,1,0,"должно быть 1, но там 0"
17,INOUT,IN,7,1,
17,INOUT,IN,8,1,
18,MU_UART,0x55 0x01 0x02 0x00 0x01 0x00 0x40 0x00 0x67 0xFE,0x55 0x00 0x02 0x00 0x01 0x00 0x40 0xFF 0x67 0x00,,
19,INPUT5V,23,1,,"должно быть 0, но там 1"
19,INPUT5V,2,0,,
19,INPUT5V,3,0,,
19,INPUT5V,4,0,,
19,INPUT5V,5,1,,
19,INPUT5V,6,1,,
19,INPUT5V,17,0,,"должно быть 1, но там 0"
19,INOUT,IN,6,1,
19,INOUT,IN,2,1,
19,INOUT,IN,3,1,
19,INOUT,IN,4,1,
19,INOUT,IN,5,1,
19,INOUT,IN,1,0,"должно быть 1, но там 0"
19,INOUT,IN,7,1,
19,INOUT,IN,8,1,
20,MU_UART,0x55 0x01 0x02 0x00 0x01 0x00 0x60 0x00 0x47 0xFE,0x55 0x00 0x02 0x00 0x01 0x00 0x60 0xFF 0x47 0x00,,
21,INPUT5V,23,1,,"должно быть 0, но там 1"
21,INPUT5V,2,0,,
21,INPUT5V,3,0,,
21,INPUT5V,4,1,,
21,INPUT5V,5,0,,
21,INPUT5V,6,1,,
21,INPUT5V,17,0,,"должно быть 1, но там 0"
21,INOUT,IN,6,1,
21,INOUT,IN,2,1,
21,INOUT,IN,3,1,
21,INOUT,IN,4,1,
21,INOUT,IN,5,1,
21,INOUT,IN,1,0,"должно быть 1, но там 0"
21,INOUT,IN,7,1,
21,INOUT,IN,8,1,
22,MU_UART,0x55 0x01 0x02 0x00 0x01 0x00 0xA0 0x00 0x07 0xFE,0x55 0x00 0x02 0x00 0x01 0x00 0xA0 0xFF 0x07 0x00,,
23,INPUT5V,23,1,,"должно быть 0, но там 1"
23,INPUT5V,2,0,,
23,INPUT5V,3,0,,
23,INPUT5V,4,1,,
23,INPUT5V,5,1,,
23,INPUT5V,6,0,,
23,INPUT5V,17,0,,"должно быть 1, но там 0"
23,INOUT,IN,6,1,
23,INOUT,IN,2,1,
23,INOUT,IN,3,1,
23,INOUT,IN,4,1,
23,INOUT,IN,5,1,
23,INOUT,IN,1,0,"должно быть 1, но там 0"
23,INOUT,IN,7,1,
23,INOUT,IN,8,1,
24,MU_UART,0x55 0x01 0x02 0x00 0x01 0x00 0xE0 0x00 0xC7 0xFD,0x55 0x00 0x02 0x00 0x81 0x00 0xE0 0xFF 0x46 0xFF,,
25,INPUT5V,23,1,,"должно быть 0, но там 1"
25,INPUT5V,2,0,,
25,INPUT5V,3,0,,
25,INPUT5V,4,1,,
25,INPUT5V,5,1,,
25,INPUT5V,6,1,,
25,INPUT5V,17,0,,"должно быть 1, но там 0"
25,INOUT,IN,6,1,
25,INOUT,IN,2,1,
25,INOUT,IN,3,1,
25,INOUT,IN,4,1,
25,INOUT,IN,5,1,
25,INOUT,IN,1,0,"должно быть 1, но там 0"
25,INOUT,IN,7,1,
25,INOUT,IN,8,1,
26,MU_UART,0x55 0x01 0x02 0x00 0x11 0x00 0x00 0x00 0x97 0xFE,0x55 0x00 0x02 0x00 0x11 0x00 0x00 0x00 0x97 0xFF,,
27,INPUT5V,23,1,,"должно быть 0, но там 1"
27,INPUT5V,2,0,,
27,INPUT5V,3,0,,
27,INPUT5V,4,1,,
27,INPUT5V,5,1,,
27,INPUT5V,6,1,,
27,INPUT5V,17,0,,"должно быть 1, но там 0"
27,INOUT,IN,6,0,
27,INOUT,IN,2,0,
27,INOUT,IN,3,0,
27,INOUT,IN,4,0,
27,INOUT,IN,5,0,
27,INOUT,IN,1,0,
27,INOUT,IN,7,0,
27,INOUT,IN,8,0,
28,MU_UART,0x55 0x01 0x02 0x00 0x11 0x00 0x00 0x01 0x97 0xFD,0x55 0x00 0x02 0x00 0x11 0x00 0x00 0x01 0x97 0xFE,,
29,INPUT5V,23,1,,"должно быть 0, но там 1"
29,INPUT5V,2,0,,
29,INPUT5V,3,0,,
29,INPUT5V,4,1,,
29,INPUT5V,5,1,,
29,INPUT5V,6,1,,
29,INPUT5V,17,0,,"должно быть 1, но там 0"
29,INOUT,IN,6,1,
29,INOUT,IN,2,0,
29,INOUT,IN,3,0,
29,INOUT,IN,4,0,
29,INOUT,IN,5,0,
29,INOUT,IN,1,0,
29,INOUT,IN,7,0,
29,INOUT,IN,8,0,
30,MU_UART,0x55 0x01 0x02 0x00 0x11 0x00 0x00 0x02 0x97 0xFC,0x55 0x00 0x02 0x00 0x11 0x00 0x00 0x02 0x97 0xFD,,
31,INPUT5V,23,1,,"должно быть 0, но там 1"
31,INPUT5V,2,0,,
31,INPUT5V,3,0,,
31,INPUT5V,4,1,,
31,INPUT5V,5,1,,
31,INPUT5V,6,1,,
31,INPUT5V,17,0,,"должно быть 1, но там 0"
31,INOUT,IN,6,0,
31,INOUT,IN,2,1,
31,INOUT,IN,3,0,
31,INOUT,IN,4,0,
31,INOUT,IN,5,0,
31,INOUT,IN,1,0,
31,INOUT,IN,7,0,
31,INOUT,IN,8,0,
32,MU_UART,0x55 0x01 0x02 0x00 0x11 0x00 0x00 0x04 0x97 0xFA,0x55 0x00 0x02 0x00 0x11 0x00 0x00 0x04 0x97 0xFB,,
33,INPUT5V,23,1,,"должно быть 0, но там 1"
33,INPUT5V,2,0,,
33,INPUT5V,3,0,,
33,INPUT5V,4,1,,
33,INPUT5V,5,1,,
33,INPUT5V,6,1,,
33,INPUT5V,17,0,,"должно быть 1, но там 0"
33,INOUT,IN,6,0,
33,INOUT,IN,2,0,
33,INOUT,IN,3,1,
33,INOUT,IN,4,0,
33,INOUT,IN,5,0,
33,INOUT,IN,1,0,
33,INOUT,IN,7,0,
33,INOUT,IN,8,0,
34,MU_UART,0x55 0x01 0x02 0x00 0x11 0x00 0x00 0x08 0x97 0xF6,0x55 0x00 0x02 0x00 0x11 0x00 0x00 0x08 0x97 0xF7,,
35,INPUT5V,23,1,,"должно быть 0, но там 1"
35,INPUT5V,2,0,,
35,INPUT5V,3,0,,
35,INPUT5V,4,1,,
35,INPUT5V,5,1,,
35,INPUT5V,6,1,,
35,INPUT5V,17,0,,"должно быть 1, но там 0"
35,INOUT,IN,6,0,
35,INOUT,IN,2,0,
35,INOUT,IN,3,0,
35,INOUT,IN,4,1,
35,INOUT,IN,5,0,
35,INOUT,IN,1,0,
35,INOUT,IN,7,0,
35,INOUT,IN,8,0,
36,MU_UART,0x55 0x01 0x02 0x00 0x11 0x00 0x00 0x10 0x97 0xEE,0x55 0x00 0x02 0x00 0x11 0x00 0x00 0x10 0x97 0xEF,,
37,INPUT5V,23,1,,"должно быть 0, но там 1"
37,INPUT5V,2,0,,
37,INPUT5V,3,0,,
37,INPUT5V,4,1,,
37,INPUT5V,5,1,,
37,INPUT5V,6,1,,
37,INPUT5V,17,0,,"должно быть 1, но там 0"
37,INOUT,IN,6,0,
37,INOUT,IN,2,0,
37,INOUT,IN,3,0,
37,INOUT,IN,4,0,
37,INOUT,IN,5,1,
37,INOUT,IN,1,0,
37,INOUT,IN,7,0,
37,INOUT,IN,8,0,
38,MU_UART,0x55 0x01 0x02 0x00 0x11 0x00 0x00 0x20 0x97 0xDE,0x55 0x00 0x02 0x00 0x11 0x00 0x00 0x20 0x97 0xDF,,
39,INPUT5V,23,1,,"должно быть 0, но там 1"
39,INPUT5V,2,0,,
39,INPUT5V,3,0,,
39,INPUT5V,4,1,,
39,INPUT5V,5,1,,
39,INPUT5V,6,1,,
39,INPUT5V,17,0,,"должно быть 1, но там 0"
39,INOUT,IN,6,0,
39,INOUT,IN,2,0,
39,INOUT,IN,3,0,
39,INOUT,IN,4,0,
39,INOUT,IN,5,0,
39,INOUT,IN,1,0,"должно быть 1, но там 0"
39,INOUT,IN,7,0,
39,INOUT,IN,8,0,
